297.55,20.1,273.4751,966.9,230,1.9,314.0024
297.139,77.0845,292.9612,966.3058,186.2204,3.7623,328.3881
297.0505,78.5635,293.1761,965.562,182.8654,4.4906,336.4573
296.9583,78.7444,293.1227,964.9395,181.8855,4.9923,342.7842
296.8582,78.8163,293.0396,964.2895,181.6087,5.4019,348.5846
296.7451,78.7754,292.9212,963.5372,181.4124,5.8006,354.7429
296.6877,78.7542,292.861,962.7985,181.1713,6.2079,361.4252
296.6621,78.9092,292.8672,962.1228,180.8243,6.6385,368.4261
296.4955,78.8889,292.7007,961.4588,180.5124,7.0641,375.1586
296.3548,78.8933,292.5645,960.8151,180.2323,7.4825,381.1422
296.2837,78.9624,292.509,960.1995,179.9764,7.8912,386.9498
296.2283,79.1386,292.4902,959.6139,179.7383,8.2871,392.6012
296.1806,79.5664,292.5287,959.0573,179.5166,8.6666,398.12
296.0803,79.9228,292.5014,958.5276,179.3143,9.0268,403.5328
296.0448,80.2168,292.5247,958.0204,179.1357,9.3649,408.1097
296.0607,80.4567,292.5873,957.5304,178.9842,9.6791,411.6315
296.0331,80.425,292.5541,957.0501,178.8612,9.9679,414.9954
295.9583,80.3835,292.4729,956.5706,178.7651,10.2299,418.3546
295.8902,80.4596,292.4213,956.0825,178.693,10.4644,421.8492
295.8014,80.4479,292.3323,955.579,178.6437,10.6715,425.7444
295.6958,80.5514,292.2494,955.054,178.6197,10.8514,429.9965
295.5976,80.9137,292.2241,954.5061,178.6259,11.0047,434.4562
295.5012,81.254,292.196,953.9385,178.6669,11.1321,439.3534
295.4101,81.5815,292.1703,953.3604,178.7438,11.2348,444.8373
295.333,81.8275,292.1422,952.7849,178.8548,11.3146,450.6242
295.2721,82.0235,292.1203,952.222,178.9968,11.3731,455.8352
295.2242,82.251,292.117,951.6807,179.168,11.4121,460.2917
295.187,82.4647,292.1213,951.1627,179.3674,11.4338,464.3718
295.1491,82.7388,292.1364,950.6611,179.5949,11.4411,468.462
295.107,82.9177,292.1292,950.166,179.8499,11.4371,472.6839
295.0654,82.9465,292.0938,949.6677,180.1314,11.4247,477.0225
295.0219,83.1229,292.0846,949.1608,180.4381,11.4063,481.5119
294.9734,83.4431,292.0976,948.6458,180.769,11.3838,486.3789
294.9198,83.7844,292.1092,948.1263,181.1232,11.3592,491.4964
294.8604,84.0794,292.1063,947.6089,181.4983,11.335,496.7501
294.8032,84.3073,292.0927,947.1021,181.8896,11.3138,501.6859
294.7568,84.4077,292.0659,946.6105,182.2897,11.2981,506.0107
294.7207,84.4117,292.0312,946.1337,182.6902,11.2905,509.7562
294.6884,84.4585,292.0082,945.6645,183.0847,11.2923,513.3124
294.6541,84.5662,291.9946,945.1929,183.4676,11.304,517.0906
294.606,84.7871,291.9883,944.7091,183.8328,11.326,521.3585
294.548,85.1296,291.9947,944.2031,184.1782,11.3576,526.0252
294.4886,85.4767,292.0003,943.6711,184.5048,11.3986,530.6425
294.4389,85.7693,292.0052,943.1115,184.8146,11.4496,535.1011
294.3912,86.0009,292.0006,942.5256,185.1093,11.5113,539.9362
294.3441,86.2329,291.9966,941.9181,185.388,11.5834,545.9075
294.287,86.4384,291.9779,941.2968,185.6472,11.6647,552.8659
294.2244,86.5481,291.9362,940.6696,185.8844,11.7539,559.9237
294.1797,86.2815,291.8438,940.0432,186.1014,11.8494,566.2356
294.1449,85.9895,291.7562,939.4192,186.3023,11.9486,571.78
294.1182,86.2595,291.7792,938.7947,186.4923,12.0502,577.0955
294.0806,86.9031,291.8589,938.1644,186.6756,12.1541,582.5006
294.0208,87.6158,291.9283,937.5222,186.8548,12.2603,587.9797
293.9413,88.3185,291.9754,936.8658,187.0303,12.3675,594.0082
293.8528,88.8723,291.9864,936.1964,187.201,12.4736,600.6653
293.7808,89.0224,291.9418,935.5187,187.3675,12.5767,607.5916
293.7291,88.8534,291.8608,934.8409,187.5337,12.6752,614.2376
293.6855,88.7457,291.7988,934.1693,187.7065,12.7677,620.4279
293.6318,89.0104,291.7925,933.5121,187.8918,12.8537,626.4578
293.5591,89.52,291.8103,932.8721,188.0914,12.9333,632.7196
293.4806,89.8147,291.7844,932.2485,188.3028,13.0067,639.0658
293.4142,89.8736,291.729,931.6394,188.5209,13.0737,645.1849
293.3628,90.1022,291.7181,931.0414,188.7413,13.1339,650.8609
293.3188,90.4685,291.7382,930.4511,188.9621,13.1868,656.0948
293.2728,90.7717,291.7452,929.8666,189.1839,13.2323,661.1721
293.2257,91.0045,291.7388,929.2849,189.4073,13.2707,666.2571
293.1848,91.187,291.7297,928.7045,189.6319,13.3022,671.4783
293.1453,91.2502,291.7015,928.1242,189.8561,13.3276,676.8908
293.1038,91.1119,291.6366,927.54,190.0774,13.3483,682.3235
293.0647,91.1552,291.6053,926.947,190.2912,13.3666,687.8087
293.0244,91.5554,291.6342,926.3418,190.4906,13.3844,693.4464
292.9667,91.9636,291.6468,925.7222,190.6696,13.4025,699.3951
292.9059,92.0617,291.6032,925.0908,190.826,13.4208,705.6117
292.8594,92.0428,291.5539,924.4517,190.9619,13.4393,711.8383
292.824,92.0315,291.5169,923.8123,191.0806,13.4586,717.8475
292.7934,91.9908,291.4796,923.1804,191.1834,13.4802,723.9458
292.7859,91.5193,291.3918,922.5613,191.269,13.5059,730.0338
292.7872,90.8437,291.277,921.9587,191.3333,13.5377,735.812
292.7812,90.2393,291.1667,921.373,191.3721,13.5768,741.013
292.769,89.9932,291.112,920.8043,191.3841,13.624,746.0732
292.7547,90.0459,291.107,920.2523,191.3724,13.6789,751.3483
