StormID,Time,Start,End,Ini_Lat,Ini_Lon,Ini_Time,,Lat_2,Lon_2,Time_2,,Lat_3,Lon_3,Time_3,,Distance1,Distance2,,Total Distance KM,Total Distance m,,Time1,Time2,TotalTime(S),,ObservedMotion(m/s),,,,Distance1_U,,Distance2_U,TotalD_U_dist,TotalU_Vector,,,Distance1_V,,Distance2_V,TotalD_V_dist,TotalV_Vector,,,TotalU_Vector,TotalV_Vector,,U**2,V**2,Mag,,AngleRad,AngleDeg
11,23,xxx,xxx,33.29483,-99.45808,22:46,1/0/1900 22:46,33.44038,-99.40788,23:01,1/0/1900 23:01,33.59474,-99.31809,23:16,1/0/1900 23:16,16.80551453,19.04474507,,35.8502596,35850.2596,,900,900,1800,,19.91681089,,,11,4.675686128,11,8.349230084,13.02491621,7.236064562,,11,16.14309846,11,17.12063918,33.26373764,18.47985424,,,7.236064562,18.47985424,,52.36063035,341.5050127,19.84604855,,1.197582564,68.61642651
12,0,xxx,xxx,33.90237,-98.94757,23:48,1/0/1900 23:48,33.93602,-98.88261,0:03,1/0/1900 0:03,33.981,-98.80474,0:14,1/0/1900 0:14,7.072158658,8.757662419,,15.82982108,15829.82108,,900,660,1560,,10.14732121,,,12,6.008172618,12,7.199392152,13.20756477,8.466387673,,12,3.732489204,12,4.989255225,8.721744429,5.590861813,,,8.466387673,5.590861813,,71.67972023,31.25773581,10.14580978,,0.583623571,33.43916746
12,1,xxx,xxx,34.07022,-98.5717,0:45,1/0/1900 0:45,34.10789,-98.48523,1:01,1/0/1900 1:01,34.16045,-98.36721,1:17,1/0/1900 1:17,9.007939019,12.34900952,,21.35694854,21356.94854,,960,960,1920,,11.1234107,,,12,7.981932893,12,10.88944787,18.87138076,9.828844147,,12,4.178506913,12,5.830208107,10.00871502,5.212872406,,,9.828844147,5.212872406,,96.60617727,27.17403872,11.12565576,,0.487643292,27.93990255
12,2,xxx,xxx,34.23203,-98.36105,1:48,1/0/1900 1:48,34.32658,-98.26017,2:02,1/0/1900 2:02,null,null,null,null,14.01037558,0,,14.01037558,14010.37558,,840,#VALUE!,840,,16.67901855,,,12,9.294360313,,0,9.294360313,11.06471466,,12,10.48818955,,0,10.48818955,12.48593994,,,11.06471466,12.48593994,,122.4279105,155.8986962,16.68312341,,0.845672656,48.45347403
12,23,22:46,2:02,33.57045,-99.32433,22:46,1/0/1900 22:46,33.67553,-99.25773,23:01,1/0/1900 23:01,33.7451,-99.14473,23:16,1/0/1900 23:16,13.19204718,13.01020947,,26.20225664,26202.25664,,900,900,1800,,14.55680924,,,12,6.183623525,12,10.47900518,16.66262871,9.257015947,,12,11.65501073,12,7.716507144,19.37151787,10.76195437,,,9.257015947,10.76195437,,85.69234424,115.8196619,14.19549246,,0.860432642,49.29915896
13,0,xxx,xxx,34.88439,-98.27028,23:48,1/0/1900 23:48,35.04715,-98.19302,0:03,1/0/1900 0:03,35.13872,-98.12077,0:14,1/0/1900 0:14,19.38621596,12.10818141,,31.49439737,31494.39737,,900,660,1560,,20.18871626,,,13,7.062829361,13,6.591784507,13.65461387,8.752957608,,13,18.05658596,13,10.15898434,28.2155703,18.08690404,,,8.752957608,18.08690404,,76.61426689,327.1360978,20.09354037,,1.120079906,64.1758513
13,1,xxx,xxx,35.39722,-97.94353,0:45,1/0/1900 0:45,35.44472,-97.91882,0:51,1/0/1900 0:51,null,null,null,null,5.727951548,0,,5.727951548,5727.951548,,360,#VALUE!,360,,15.91097652,,,13,2.244775514,,0,2.244775514,6.235487539,,13,5.270044426,,0,5.270044426,14.63901229,,,6.235487539,14.63901229,,38.88130485,214.3006808,15.91169336,,1.168121281,66.92841938
13,23,22:32,0:51,34.39555,-98.54472,22:46,1/0/1900 22:46,34.51619,-98.48418,23:01,1/0/1900 23:01,34.65338,-98.42749,23:16,1/0/1900 23:16,14.49282582,16.08311457,,30.57594038,30575.94038,,900,900,1800,,16.98663354,,,13,5.566917564,13,5.20540177,10.77231933,5.984621852,,13,13.38267324,13,15.21889723,28.60157047,15.88976137,,,5.984621852,15.88976137,,35.81569871,252.4845164,16.97940562,,1.210594018,69.36192795
14,23,23:01,23:08,34.46688,-97.80047,23:01,1/0/1900 23:01,34.50304,-97.81128,23:06,1/0/1900 23:06,null,null,null,null,4.132346042,0,,4.132346042,4132.346042,,300,#VALUE!,300,,13.77448681,,,14,0.993182656,,0,0.993182656,3.310608853,,14,4.011271311,,0,4.011271311,13.37090437,,,3.310608853,13.37090437,,10.96013098,178.7810837,13.77465842,,1.328079667,76.09335979
15,23,22:46,23:32,34.56154,-97.84374,22:46,1/0/1900 22:46,34.68911,-97.78136,23:01,1/0/1900 23:01,34.83467,-97.7437,23:16,1/0/1900 23:16,15.26423067,16.51185964,,31.77609031,31776.09031,,900,900,1800,,17.65338351,,,15,5.724764825,15,3.450864749,9.175629574,5.097571986,,15,14.15181605,15,16.1478764,30.29969245,16.83316247,,,5.097571986,16.83316247,,25.98524015,283.3553587,17.58808116,,1.276746023,73.15215865
